name|id|weight||effects
Illusory Ring of a Conqueror|29|0.2||[{"effect":  "Left hand weapon becomes invisible", "alters": "",  "method": "", "value": 0}]
Illusory Ring of the Exalted|30|0.2||[{"effect":  "Right hand weapon becomes invisible", "alters": "",  "method": "", "value": 0}]
Ivory Warrior Ring|31|5||[{"effect":  "Attacks greatly reduce enemy Stamina", "alters": "",  "method": "", "value": 0}]
King's Ring|32|0.2||[{"effect":  "Increases fire damage by 2.5", "alters": "Fire BNS",  "method": "mul", "value": 1.025}]
Life Ring|33|1.2||[{"effect":  "Raises max HP by 15%", "alters": "HP",  "method": "mul", "value": 1.15}]
Lightning Clutch Ring|34|2||[{"effect":  "Increases Lightning damage", "alters": "Lightning AR",  "method": "special", "value": 0},{"effect":  "Decreases physical defense by 80 points", "alters": "Physical Def",  "method": "add", "value": -80}]
Lingering Dragoncrest Ring|35|0.8||[{"effect":  "Extends the length of a spells effect by 50%", "alters": "",  "method": "", "value": 0}]
Name-Engraved Ring|36|0.2||[{"effect":  "Filters co-op and PvP signs", "alters": "",  "method": "", "value": 0}]
Northern Ritual Band|37|1||[{"effect":  "Increases spell uses by 30%", "alters": "Spell Uses",  "method": "mul", "value": 1.3},{"effect":  "Reduces HP by 50%", "alters": "HP",  "method": "mul", "value": 0.5}]
Old Leo Ring|38|0.5||[{"effect":  "Strengthens thrust weapon counter attacks by 12.5%", "alters": "",  "method": "", "value": 0}]
Old Sun Ring|39|3||[{"effect":  "Has a 10-30% of causing an explosion once it reaches the damage threshold", "alters": "",  "method": "", "value": 0}]
Poisonbite Ring|40|0.5||[{"effect":  "Increases poison resistance by 300 points", "alters": "Poison DEF",  "method": "add", "value": 300}]
Redeye Ring|41|0.2||[{"effect":  "Increases enemy aggro", "alters": "",  "method": "", "value": 0}]
Red Tearstone Ring|42|1.5||[{"effect":  "Boosts physical damage by 20% when HP is below 30%", "alters": "",  "method": "", "value": 0}]
Ring of Binding|43|0.2||[{"effect":  "Limits HP reduction when hollowing", "alters": "",  "method": "", "value": 0}]
Ring of Blades|44|2||[{"effect":  "Increases physical damage with all weapons by 50", "alters": "AR",  "method": "add", "value": 50}]
Ring of Giants|45|5||[{"effect":  "Increases Poise by 30", "alters": "Poise",  "method": "add", "value": 30}]
Ring of Knowledge|46|0.5||[{"effect":  "Increases Intelligence by 5", "alters": "Intelligence",  "method": "add", "value": 5}]
Ring of Life Protection|47|1||[{"effect":  "Do not turn hollow or lose souls upon any death other than petrification. Breaks when activated", "alters": "",  "method": "", "value": 0}]
Ring of Prayer|48|0.5||[{"effect":  "Increases Faith by 5", "alters": "Faith",  "method": "add", "value": 5}]
Ring of Resistance|49|1.5||[{"effect":  "Increases Poison resist by 120 points", "alters": "Poison RES",  "method": "add", "value": 120},{"effect":  "Increases Bleed resist by 120 points", "alters": "Bleed RES",  "method": "add", "value": 120},{"effect":  "Increases Curse resist by 120 points", "alters": "Curse RES",  "method": "add", "value": 120}]
Ring of Restoration|50|1||[{"effect":  "Restores 2 HP every second", "alters": "",  "method": "", "value": 0}]
Ring of Soul Protection|51|1||[{"effect":  "Do not turn hollow or lose souls upon death or petrification. Breaks when activated", "alters": "",  "method": "", "value": 0}]
Ring of Steel Protection|52|2||[{"effect":  "Increases physical defense by 100", "alters": "Physical Def",  "method": "add", "value": 100}]
Ring of the Dead|53|0.2||[{"effect":  "Keep a human appearance even when Hollowed", "alters": "",  "method": "", "value": 0}]
Ring of the Living|54|0.2||[{"effect":  "Appear as a human while in phantom form", "alters": "",  "method": "", "value": 0}]
Ring of the Embedded|55|2||[{"effect":  "Increases damage taken by approximately 8%", "alters": "",  "method": "", "value": 0},{"effect":  "Increases Vigor", "alters": "",  "method": "special", "value": 0},{"effect":  "Increases Endurance", "alters": "",  "method": "special", "value": 0},{"effect":  "Increases Vitality", "alters": "",  "method": "special", "value": 0}]
Ring of the Evil Eye|56|1.2||[{"effect":  "Absorb 80 HP from each defeated foe", "alters": "",  "method": "", "value": 0}]
Ring of Thorns|57|1||[{"effect":  "Has a 70% chance of counter-attacking when damage is taken", "alters": "",  "method": "", "value": 0}]
Ring of Whispers|58|0.5||[{"effect":  "Makes it easier to locate hidden enemies", "alters": "",  "method": "", "value": 0}]
Royal Soldier's Ring|59|0.8||[{"effect":  "Increases maximum equipment load by 20%", "alters": "Equip Load",  "method": "mul", "value": 1.2}]
Second Dragon Ring|60|0.8||[{"effect":  "Increases HP by 5%", "alters": "HP",  "method": "mul", "value": 1.05},{"effect":  "Increases stamina by 10%", "alters": "Stamina",  "method": "mul", "value": 1.10},{"effect":  "Increases equip load by 5%", "alters": "Equip Load",  "method": "mul", "value": 1.10}]
Silvercat Ring|61|0.2||[{"effect":  "Reduces Falling Damage by approximately 550", "alters": "",  "method": "", "value": 0}]
Simpleton's Ring|62|1.5||[{"effect":  "Makes wearer invisible while rolling", "alters": "",  "method": "", "value": 0},{"effect":  "Increases Adaptability by 5", "alters": "Adaptability",  "method": "add", "value": 5}]
Slumbering Dragoncrest Ring|63|0.2||[{"effect":  "Masks the sound of the wearer's footfalls", "alters": "",  "method": "", "value": 0}]
Sorcery Clutch Ring|64|2||[{"effect":  "Increases Magic damage", "alters": "Magic BNS",  "method": "special", "value": 0},{"effect":  "Decreases physical defense by 80 points", "alters": "Physical Def",  "method": "add", "value": -80}]
Southern Ritual Band|65|1.5||[{"effect":  "Gives three attunement slots", "alters": "Slots",  "method": "add", "value": 3}]
Spell Quartz Ring|66|1||[{"effect":  "Increases Magic defense by 150 points", "alters": "Magic Def",  "method": "add", "value": 150}]
Stone Ring|67|1.5||[{"effect":  "Deal an additional 30 Poise damage", "alters": "",  "method": "", "value": 0}]
Strength Ring|68|1.5||[{"effect":  "Increases Strength by 5 points", "alters": "Strength",  "method": "add", "value": 5}]
Sun Seal|69|0.2||[{"effect":  "Increases the strength of miracles by 5%", "alters": "",  "method": "", "value": 0}]
Third Dragon Ring|70|1||[{"effect":  "Increases HP by 7.5%", "alters": "HP",  "method": "mul", "value": 1.075},{"effect":  "Increases stamina by 12.5%", "alters": "Stamina",  "method": "mul", "value": 1.125},{"effect":  "Increases equip load by 12.5%", "alters": "Equip Load",  "method": "mul", "value": 1.125}]
Thunder Quartz Ring|71|1||[{"effect":  "Increases lightning defense by 150%", "alters": "Lightning Def",  "method": "mul", "value": 1.5}]
Vanquisher's Seal|72|0.2||[{"effect":  "Increase bare handed attack power", "alters": "",  "method": "", "value": 0}]
White Ring|73|1||[{"effect":  "Changes your character's appearance to that of a White Phantom", "alters": "",  "method": "", "value": 0}]
Yorgh's Ring|74|0.5||[{"effect":  "Chance of deflecting spells", "alters": "",  "method": "", "value": 0}]
Agape Ring|75|1||[{"effect":  "Absorbs souls in place of wearer", "alters": "",  "method": "", "value": 0}]
